index,kanji,kanji_old,radical,strokes,grade,year,meanings,on,kun,frequency,jlpt
1,亜,亞,二,7,S,,sub-|Asia,ア,,21271,1
2,哀,,口,9,S,,pathetic,アイ,あわ-れ|あわ-れむ,2601,1
3,挨,,手,10,S,2010,push open,アイ,,1804,1
4,愛,,心,13,4,,love,アイ,,780,3
5,曖,,日,17,S,2010,not clear,アイ,,3134,1
6,悪,惡,心,11,3,,bad,アク|オ,わる-い,221,4
7,握,,手,12,S,,grip,アク,にぎ-る,1420,1
8,圧,壓,土,5,5,,pressure,アツ,,3087,2
9,扱,,手,6,S,,handle,,あつか-う,1198,1
10,宛,,宀,8,S,2010,allocate,,あ-てる,10385,1
11,嵐,,山,12,S,2010,storm,,あらし,3474,1
12,安,,宀,6,3,,cheap,アン,やす-い,741,4
13,案,,木,10,4,,plan,アン,,2720,1
14,暗,,日,13,3,,dark,アン,くら-い,1225,3
15,以,,人,5,4,,by means of,イ,,541,4
16,衣,,衣,6,4,,clothes,イ,ころも,4061,2
17,位,,人,7,4,,rank,イ,くらい,962,3
18,囲,圍,囗,7,5,,surround,イ,かこ-む|かこ-う,1014,2
19,医,醫,酉,7,3,,doctor,イ,,1263,4
20,依,,人,8,S,,reliant,イ（エ）,,2550,2
21,委,,女,8,3,,committee,イ,ゆだ-ねる,1648,2
22,威,,女,9,S,,intimidate,イ,,3888,1
23,為,爲,爪,9,S,,do,イ,,65,1
24,畏,,田,9,S,2010,fear,イ,おそ-れる,13642,1
25,胃,,肉,9,6,,stomach,イ,,3050,2
26,尉,,寸,11,S,,military officer,イ,,17488,1
27,異,,田,11,6,,uncommon,イ,こと,483,1
28,移,,禾,11,5,,shift,イ,うつ-る|うつ-す,1450,2
29,萎,,艸,11,S,2010,wither,イ,な-える,15356,1
30,偉,,人,12,S,,admirable,イ,えら-い,2126,3
31,椅,,木,12,S,2010,chair,イ,,1448,1
32,彙,,彐,13,S,2010,same kind,イ,,15600,1
33,意,,心,13,3,,idea,イ,,186,4
34,違,,辵,13,S,,differ,イ,ちが-う|ちが-える,191,3
35,維,,糸,14,S,,fiber,イ,,1635,1
36,慰,,心,15,S,,consolation,イ,なぐさ-める|なぐさ-む,5534,1
37,遺,,辵,15,6,,bequeath,イ（ユイ）,,3446,1
38,緯,,糸,16,S,,horizontal,イ,,3162,1
39,域,,土,11,6,,range,イキ,,358,2
40,育,,肉,8,3,,nurture,イク,そだ-つ|そだ-てる|はぐく-む,906,3
41,一,,一,1,1,,one,イチ|イツ,ひと|ひと-つ,79,5
42,壱,壹,士,7,S,,one (falsification prevention),イチ,,43644,1
43,逸,逸,辵,11,S,,deviate,イツ,,5011,1
44,茨,,艸,9,4,2010,thorn,（いばら）,,7781,1
45,芋,,艸,6,S,,potato,,いも,4087,1
46,引,,弓,4,2,,pull,イン,ひ-く|ひ-ける,465,3
47,印,,卩,6,4,,mark,イン,しるし,1125,2
48,因,,囗,6,5,,cause,イン,よ-る,386,3
49,咽,,口,9,S,2010,throat,イン,,25249,1
50,姻,,女,9,S,,matrimony,イン,,10426,1
51,員,,口,10,3,,member,イン,,1546,4
52,院,,阜,10,3,,institution,イン,,634,4
53,淫,,水,11,S,2010,lewdness,イン,みだ-ら,15454,1
54,陰,,阜,11,S,,shade,イン,かげ|かげ-る,1341,1
55,飲,,食,12,3,,drink,イン,の-む,319,4
56,隠,隱,阜,14,S,,conceal,イン,かく-す|かく-れる,1146,1
57,韻,,音,19,S,,rhyme,イン,,12469,1
58,右,,口,5,1,,right (direction),ウ|ユウ,みぎ,826,5
59,宇,,宀,6,6,,eaves,ウ,,2075,2
60,羽,,羽,6,2,,feather,ウ,は|はね,4218,2
61,雨,,雨,8,1,,rain,ウ,あめ（あま）,728,5
62,唄,,口,10,S,2010,songs with samisen,（うた）,,35377,1
63,鬱,,鬯,29,S,2010,gloom,ウツ,,5986,1
64,畝,,田,10,S,,furrow,,うね,28886,1
65,浦,,水,10,S,,bay,,うら,11137,1
66,運,,辵,12,3,,carry,ウン,はこ-ぶ,909,4
67,雲,,雨,12,2,,cloud,ウン,くも,1809,2
68,永,,水,5,5,,eternity,エイ,なが-い,2648,2
69,泳,,水,8,3,,swim,エイ,およ-ぐ,3184,3
70,英,,艸,8,4,,England,エイ,,912,4
71,映,,日,9,6,,reflect,エイ,うつ-る|うつ-す|は-える,781,4
72,栄,榮,木,9,4,,prosperity,エイ,さか-える|は-え|は-える,3745,2
73,営,營,火,12,5,,manage,エイ,いとな-む,1993,2
74,詠,,言,12,S,,recitation,エイ,よ-む,59564,1
75,影,,彡,15,S,,shadow,エイ,かげ,403,1
76,鋭,,金,15,S,,pointed,エイ,するど-い,2266,2
77,衛,衞,行,16,5,,defense,エイ,,3241,1
78,易,,日,8,5,,easy,エキ|イ,やさ-しい,1558,3
79,疫,,疒,9,S,,epidemic,エキ（ヤク）,,13476,1
80,益,,皿,10,5,,benefit,エキ（ヤク）,,1047,1
81,液,,水,11,5,,fluid,エキ,,3060,2
82,駅,驛,馬,14,3,,station,エキ,,1408,4
83,悦,,心,10,S,,ecstasy,エツ,,14977,1
84,越,,走,12,S,,cross over,エツ,こ-す|こ-える,408,3
85,謁,,言,15,S,,audience,エツ,,43644,1
86,閲,,門,15,S,,review,エツ,,9204,1
87,円,圓,囗,4,1,,round|yen,エン,まる-い,2592,5
88,延,,廴,8,6,,prolong,エン,の-びる|の-べる|の-ばす,4683,2
89,沿,,水,8,6,,run alongside,エン,そ-う,1581,1
90,炎,,火,8,S,,inflammation,エン,ほのお,3106,1
91,怨,,心,9,S,2010,grudge,エン|オン,,23256,1
92,宴,,宀,10,S,,banquet,エン,,8987,1
93,媛,,女,12,4,2010,princess; beautiful woman,エン,,14239,1
94,援,,手,12,S,,aid,エン,,2168,1
95,園,,囗,13,2,,garden,エン,その,2043,3
96,煙,,火,13,S,,smoke,エン,けむ-る|けむり|けむ-い,2861,3
97,猿,,犬,13,S,1981,monkey,エン,さる,4187,1
98,遠,,辵,13,2,,far,エン（オン）,とお-い,1264,3
99,鉛,,金,13,S,,lead,エン,なまり,6201,1
